hash_fn,nodes_count,execution_time,speedup,efficiency
SHA-256,1,8888,1.00000,100.00000
SHA-256,2,4346,2.04510,102.25495
SHA-256,3,2934,3.02931,100.97705
SHA-256,4,2304,3.85764,96.44097
SHA-256,5,1752,5.07306,101.46119
SHA-256,6,1500,5.92533,98.75556
SHA-256,7,1251,7.10472,101.49595
SHA-256,8,1091,8.14665,101.83318
SHA-256,9,992,8.95968,99.55197
SHA-256,10,877,10.13455,101.34550
SHA-256,11,792,11.22222,102.02020
SHA-256,12,761,11.67937,97.32808
SHA-256,13,676,13.14793,101.13792
SHA-256,14,632,14.06329,100.45208
SHA-256,15,604,14.71523,98.10155
SHA-512,1,11229,1.00000,100.00000
SHA-512,2,5611,2.00125,100.06238
SHA-512,3,3746,2.99760,99.91991
SHA-512,4,2840,3.95387,98.84683
SHA-512,5,2230,5.03543,100.70852
SHA-512,6,1862,6.03061,100.51020
SHA-512,7,1587,7.07561,101.08021
SHA-512,8,1397,8.03794,100.47423
SHA-512,9,1237,9.07761,100.86230
SHA-512,10,1119,10.03485,100.34853
SHA-512,11,1012,11.09585,100.87136
SHA-512,12,937,11.98399,99.86660
SHA-512,13,881,12.74574,98.04418
SHA-512,14,803,13.98381,99.88436
SHA-512,15,748,15.01203,100.08021
MD5,1,7134,1.00000,100.00000
MD5,2,3553,2.00788,100.39403
MD5,3,2379,2.99874,99.95797
MD5,4,1785,3.99664,99.91597
MD5,5,1432,4.98184,99.63687
MD5,6,1210,5.89587,98.26446
MD5,7,1016,7.02165,100.30934
MD5,8,884,8.07014,100.87670
MD5,9,803,8.88418,98.71316
MD5,10,710,10.04789,100.47887
MD5,11,656,10.87500,98.86364
MD5,12,601,11.87022,98.91847
MD5,13,565,12.62655,97.12730
MD5,14,521,13.69290,97.80642
MD5,15,488,14.61885,97.45902
NTLM,1,7148,1.00000,100.00000
NTLM,2,3628,1.97023,98.51158
NTLM,3,2444,2.92471,97.49045
NTLM,4,1823,3.92101,98.02523
NTLM,5,1434,4.98466,99.69317
NTLM,6,1195,5.98159,99.69317
NTLM,7,1025,6.97366,99.62369
NTLM,8,910,7.85495,98.18681
NTLM,9,809,8.83560,98.17333
NTLM,10,716,9.98324,99.83240
NTLM,11,661,10.81392,98.30835
NTLM,12,598,11.95318,99.60981
NTLM,13,556,12.85612,98.89319
NTLM,14,518,13.79923,98.56591
NTLM,15,505,14.15446,94.36304
